03-11-2022 13:15:34; Запуск бота командой start; start
03-11-2022 13:15:35; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:15:46; ходит пользователь; 1
03-11-2022 13:15:46; ходит бот; 7
03-11-2022 13:15:46; ходит следующий; Следующий ход
03-11-2022 13:16:05; ходит пользователь; 2
03-11-2022 13:16:05; ходит бот; 3
03-11-2022 13:16:05; ходит следующий; Следующий ход
03-11-2022 13:16:12; ходит пользователь; 5
03-11-2022 13:16:12; ходит бот; 6
03-11-2022 13:16:12; ходит следующий; Следующий ход
03-11-2022 13:16:17; ходит пользователь; 9
03-11-2022 13:16:17; ответ бота; Вы выиграли!
03-11-2022 13:16:17; ответ бота; Новая игра!
03-11-2022 13:16:25; ходит пользователь; 1
03-11-2022 13:16:25; ходит бот; 8
03-11-2022 13:16:25; ходит следующий; Следующий ход
03-11-2022 13:16:29; ходит пользователь; 5
03-11-2022 13:16:29; ходит бот; 6
03-11-2022 13:16:29; ходит следующий; Следующий ход
03-11-2022 13:16:33; Сообщение об ошибки; Нажми, пожалуйста на неиспользованную кнопку или введите соответствующий номер кнопки.
03-11-2022 13:16:48; ходит пользователь; 7
03-11-2022 13:16:48; ходит бот; 3
03-11-2022 13:16:48; ходит следующий; Следующий ход
03-11-2022 13:16:55; ходит пользователь; 2
03-11-2022 13:16:55; ходит бот; 3
03-11-2022 13:16:55; ходит следующий; Следующий ход
03-11-2022 13:21:23; Запуск бота командой start; start
03-11-2022 13:21:23; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:21:25; ходит пользователь; 1
03-11-2022 13:21:25; ходит бот; 7
03-11-2022 13:21:25; ходит следующий; Следующий ход
03-11-2022 13:21:27; ходит пользователь; 6
03-11-2022 13:21:27; ходит бот; 8
03-11-2022 13:21:27; ходит следующий; Следующий ход
03-11-2022 13:21:35; Сообщение об ошибки; Нажми, пожалуйста на неиспользованную кнопку или введите соответствующий номер кнопки.
03-11-2022 13:22:07; ходит пользователь; 9
03-11-2022 13:22:07; ходит бот; 3
03-11-2022 13:22:07; ходит следующий; Следующий ход
03-11-2022 13:22:12; ходит пользователь; 5
03-11-2022 13:22:12; ответ бота; Вы выиграли!
03-11-2022 13:22:12; ответ бота; Новая игра!
03-11-2022 13:22:21; ходит пользователь; 1
03-11-2022 13:22:21; ходит бот; 9
03-11-2022 13:22:21; ходит следующий; Следующий ход
03-11-2022 13:22:23; ходит пользователь; 6
03-11-2022 13:22:23; ходит бот; 2
03-11-2022 13:22:24; ходит следующий; Следующий ход
03-11-2022 13:22:28; ходит пользователь; 8
03-11-2022 13:22:28; ходит бот; 9
03-11-2022 13:22:28; ходит следующий; Следующий ход
03-11-2022 13:36:38; Запуск бота командой start; start
03-11-2022 13:36:38; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:39:50; Запуск бота командой start; start
03-11-2022 13:39:50; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:39:51; ходит пользователь; 1
03-11-2022 13:39:51; ходит бот; 5
03-11-2022 13:39:51; ходит следующий; Следующий ход
03-11-2022 13:39:55; ходит пользователь; 6
03-11-2022 13:39:55; ходит бот; 4
03-11-2022 13:39:55; ходит следующий; Следующий ход
03-11-2022 13:39:59; ходит пользователь; 8
03-11-2022 13:39:59; ходит бот; 9
03-11-2022 13:39:59; ходит следующий; Следующий ход
03-11-2022 13:40:02; ходит пользователь; 3
03-11-2022 13:40:02; ходит бот; 2
03-11-2022 13:40:02; ходит следующий; Следующий ход
03-11-2022 13:40:05; ходит пользователь; 7
03-11-2022 13:40:05; ответ бота; Ничья!
03-11-2022 13:40:05; ответ бота; Новая игра!
03-11-2022 13:41:10; ходит пользователь; 2
03-11-2022 13:41:10; ходит бот; 8
03-11-2022 13:41:10; ходит следующий; Следующий ход
03-11-2022 13:41:11; Сообщение об ошибки; Нажми, пожалуйста на неиспользованную кнопку или введите соответствующий номер кнопки.
03-11-2022 13:41:14; ходит пользователь; 9
03-11-2022 13:41:14; ходит бот; 5
03-11-2022 13:41:14; ходит следующий; Следующий ход
03-11-2022 13:41:15; ходит пользователь; 7
03-11-2022 13:41:15; ходит бот; 6
03-11-2022 13:41:15; ходит следующий; Следующий ход
03-11-2022 13:41:17; ходит пользователь; 3
03-11-2022 13:41:17; ходит бот; 1
03-11-2022 13:41:17; ходит следующий; Следующий ход
03-11-2022 13:41:18; ходит пользователь; 4
03-11-2022 13:41:18; ответ бота; Ничья!
03-11-2022 13:41:18; ответ бота; Новая игра!
03-11-2022 13:42:22; Запуск бота командой start; start
03-11-2022 13:42:22; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:42:24; ходит пользователь; 1
03-11-2022 13:42:24; ходит бот; 6
03-11-2022 13:42:24; ходит следующий; Следующий ход
03-11-2022 13:42:26; Сообщение об ошибки; Нажми, пожалуйста на неиспользованную кнопку или введите соответствующий номер кнопки.
03-11-2022 13:42:28; ходит пользователь; 5
03-11-2022 13:42:28; ходит бот; 2
03-11-2022 13:42:28; ходит следующий; Следующий ход
03-11-2022 13:42:29; ходит пользователь; 3
03-11-2022 13:42:29; ходит бот; 4
03-11-2022 13:42:29; ходит следующий; Следующий ход
03-11-2022 13:42:31; ходит пользователь; 8
03-11-2022 13:42:31; ходит бот; 9
03-11-2022 13:42:31; ходит следующий; Следующий ход
03-11-2022 13:42:32; ходит пользователь; 7
03-11-2022 13:42:32; ответ бота; Ничья!
03-11-2022 13:42:32; ответ бота; Новая игра!
03-11-2022 13:44:32; Запуск бота командой start; start
03-11-2022 13:44:32; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:44:32; ходит пользователь; 1
03-11-2022 13:44:32; ходит бот; 5
03-11-2022 13:44:33; ходит следующий; Следующий ход
03-11-2022 13:44:34; ходит пользователь; 3
03-11-2022 13:44:34; ходит бот; 8
03-11-2022 13:44:34; ходит следующий; Следующий ход
03-11-2022 13:44:36; ходит пользователь; 7
03-11-2022 13:44:36; ходит бот; 9
03-11-2022 13:44:37; ходит следующий; Следующий ход
03-11-2022 13:44:38; ходит пользователь; 6
03-11-2022 13:44:38; ходит бот; 4
03-11-2022 13:44:38; ходит следующий; Следующий ход
03-11-2022 13:44:40; ходит пользователь; 2
03-11-2022 13:44:40; ответ бота; Ничья!
03-11-2022 13:44:41; ответ бота; Новая игра!
03-11-2022 13:44:46; ходит пользователь; 1
03-11-2022 13:44:46; ходит бот; 1
